2016-08-03 15:22:10 status unpacked ifupdown:arm64 0.7.47.2ubuntu4
2016-08-03 15:22:10 install initramfs-tools:all <none> 0.103ubuntu4
2016-08-03 15:22:10 status half-installed initramfs-tools:all 0.103ubuntu4
2016-08-03 15:22:10 status unpacked initramfs-tools:all 0.103ubuntu4
2016-08-03 15:22:10 status unpacked initramfs-tools:all 0.103ubuntu4
2016-08-03 15:22:10 install initramfs-tools-bin:arm64 <none> 0.103ubuntu4
2016-08-03 15:22:10 status half-installed initramfs-tools-bin:arm64 0.103ubuntu4
2016-08-03 15:22:10 status unpacked initramfs-tools-bin:arm64 0.103ubuntu4
2016-08-03 15:22:10 status unpacked initramfs-tools-bin:arm64 0.103ubuntu4
2016-08-03 15:22:10 install initscripts:arm64 <none> 2.88dsf-41ubuntu6
2016-08-03 15:22:10 status half-installed initscripts:arm64 2.88dsf-41ubuntu6
2016-08-03 15:22:10 status unpacked initscripts:arm64 2.88dsf-41ubuntu6
2016-08-03 15:22:10 status unpacked initscripts:arm64 2.88dsf-41ubuntu6
2016-08-03 15:22:10 install insserv:arm64 <none> 1.14.0-5ubuntu2
2016-08-03 15:22:10 status half-installed insserv:arm64 1.14.0-5ubuntu2
2016-08-03 15:22:10 status unpacked insserv:arm64 1.14.0-5ubuntu2
2016-08-03 15:22:10 status unpacked insserv:arm64 1.14.0-5ubuntu2
2016-08-03 15:22:10 install iproute2:arm64 <none> 3.12.0-2
2016-08-03 15:22:10 status half-installed iproute2:arm64 3.12.0-2
2016-08-03 15:22:10 status unpacked iproute2:arm64 3.12.0-2
2016-08-03 15:22:10 status unpacked iproute2:arm64 3.12.0-2
2016-08-03 15:22:10 install klibc-utils:arm64 <none> 2.0.3-0ubuntu1
2016-08-03 15:22:10 status half-installed klibc-utils:arm64 2.0.3-0ubuntu1
2016-08-03 15:22:10 status unpacked klibc-utils:arm64 2.0.3-0ubuntu1
2016-08-03 15:22:10 status unpacked klibc-utils:arm64 2.0.3-0ubuntu1
2016-08-03 15:22:10 install kmod:arm64 <none> 15-0ubuntu6
2016-08-03 15:22:10 status half-installed kmod:arm64 15-0ubuntu6
2016-08-03 15:22:10 status unpacked kmod:arm64 15-0ubuntu6
2016-08-03 15:22:10 status unpacked kmod:arm64 15-0ubuntu6
2016-08-03 15:22:10 install libacl1:arm64 <none> 2.2.52-1
2016-08-03 15:22:10 status half-installed libacl1:arm64 2.2.52-1
2016-08-03 15:22:10 status unpacked libacl1:arm64 2.2.52-1
2016-08-03 15:22:10 status unpacked libacl1:arm64 2.2.52-1
2016-08-03 15:22:10 install libattr1:arm64 <none> 1:2.4.47-1ubuntu1
2016-08-03 15:22:10 status half-installed libattr1:arm64 1:2.4.47-1ubuntu1
2016-08-03 15:22:10 status unpacked libattr1:arm64 1:2.4.47-1ubuntu1
2016-08-03 15:22:10 status unpacked libattr1:arm64 1:2.4.47-1ubuntu1
2016-08-03 15:22:10 install libaudit-common:all <none> 1:2.3.2-2ubuntu1
2016-08-03 15:22:10 status half-installed libaudit-common:all 1:2.3.2-2ubuntu1
2016-08-03 15:22:10 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2016-08-03 15:22:10 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2016-08-03 15:22:10 install libaudit1:arm64 <none> 1:2.3.2-2ubuntu1
2016-08-03 15:22:10 status half-installed libaudit1:arm64 1:2.3.2-2ubuntu1
2016-08-03 15:22:10 status unpacked libaudit1:arm64 1:2.3.2-2ubuntu1
2016-08-03 15:22:10 status unpacked libaudit1:arm64 1:2.3.2-2ubuntu1
2016-08-03 15:22:10 install libblkid1:arm64 <none> 2.20.1-5.1ubuntu20
2016-08-03 15:22:10 status half-installed libblkid1:arm64 2.20.1-5.1ubuntu20
2016-08-03 15:22:10 status unpacked libblkid1:arm64 2.20.1-5.1ubuntu20
2016-08-03 15:22:10 status unpacked libblkid1:arm64 2.20.1-5.1ubuntu20
2016-08-03 15:22:10 install libbz2-1.0:arm64 <none> 1.0.6-5
2016-08-03 15:22:10 status half-installed libbz2-1.0:arm64 1.0.6-5
2016-08-03 15:22:10 status unpacked libbz2-1.0:arm64 1.0.6-5
2016-08-03 15:22:10 status unpacked libbz2-1.0:arm64 1.0.6-5
2016-08-03 15:22:10 install libc-bin:arm64 <none> 2.19-0ubuntu6
2016-08-03 15:22:10 status half-installed libc-bin:arm64 2.19-0ubuntu6
